Datetime,Tweet Id,Text,Username
2023-05-13 19:50:25+00:00,1657473389781745664,"Rasa sakit disebabkan karna efek samping vaksin 2 taun yg lalu .
Itu pun tahu dalam meditasi
Sejatine awakmu seng ngerti yo awakmu NUR",Nurdi_06
2023-05-13 13:33:04+00:00,1657378427073343489,"@yo2thok So, ini HIV nya efek vaksin atau gimana?",lockedawayt
2023-05-13 12:31:11+00:00,1657362854528561152,"Tes Hoax untuk Virus Hoax demi Vaksin Hoax yang beresiko memicu ribuan efek samping apabila disuntikkan, Pandemi tolol lebih tepatnya. https://t.co/qsYIW7UBd8",_Banyoe
2023-05-13 12:09:56+00:00,1657357504911937539,@HmfaqihA Efek vaksin palsu,Toni7216
2023-05-13 10:26:10+00:00,1657331391225561089,"@DokterTifa Krn bagiku vaksin itu meragukan kehalalannya dan meragukan efek samping kedepannya, eman tubuhku dimasukin yg blum tentu halal, yg penting rajin pakai masker dan masker sy ksh minyak kayu putih, cuci tangan, dan berjemur udh itu alami vaksin alami sya dr Allah",NurriZainiyah
2023-05-13 10:01:47+00:00,1657325257341145090,"@DemoKreasi889 @StopPlandemit Selama masih ada yang mau disuntik vaksin ya mereka akan ulur terus pandeminya. Lumayan duwitnya bisa buat jajan. 
Kalau terjadi efek samping toh tidak akan ditanggung.",elpoghu
2023-05-13 09:57:10+00:00,1657324093690216448,efek habis vaksin kah ini?? pengen yg greentea malah kebeli rasa thai tea untung sama2 enak😭😭😭 habis vaksin agak linglung,Jido0_
2023-05-13 08:27:07+00:00,1657301435154042880,"@Uncle_Gober324 @StopPlandemit @Aku08__ @Imperfect_Yy503 @mulkanjabariyan @LtdAkbar @_Banyoe Wkwkwwkwkwk... Segitunya bikin akun yg justru nunjukan betapa dia itu kena gangguan mental parah karena efek cairan beracun vaksin kopet. 

Perhatiin akunnya yg usernya sampai dikombo angka dan huruf saat nulis nd0r0... 🤮",emakoravaksin
2023-05-12 23:10:10+00:00,1657161271350013952,@Ndoro68295960 @mulkanjabariyan @dokter_kampung @Uncle_Gober324 @TuckerCarlson @bd_baskoro @_Banyoe @StopPlandemit @Imperfect_Yy503 @mindlipstick @emakoravaksin @AlphaZenyth @missaqila11 @Aku08__ @AD3NT_ @fvcksynkills @Mighty_Momi Giliran bahas efek vaksin malah ngaco nas..nas,Honeyda14
2023-05-12 21:40:14+00:00,1657138638650748931,"Semoga badanku baik2 saja 🤣

Lari 7k buat otw vaksin booster 2, besok pagi lari lg 5k 😌 larinya gajadi masalah, easy run lah. Yang jadi masalah bakal ada efek ga ini vaksin, kacau kl sampai sakit ga ada yg urusin di jogja.",_pelaripagi
2023-05-12 12:30:40+00:00,1657000337650364416,"udah vaksin koq masih kena covid....??!!
atau jangan jangan karna efek samping vaksin tersebut....banyak teman saya yg mati mendadak di usia muda anehnya semua nya sudah vaksin lengkap....dan saya sndiri dari awal plandemi gak vaksin alkhamdulillah sehat smpai skarang",bow_5758
2023-05-12 00:32:43+00:00,1656819659629543425,"@nd0r06B2959GQ klo efek vaksin mah, gak pake sempet ke RS mas, setelah beberapa tahun baru ngepek. langsung muter2 kejang.. selesai.

tapi itu klo vaksin ori, klo placebo ya aman.",AgusSantaiAja
2023-05-11 19:14:07+00:00,1656739478743187457,"Mangkanya kenapa hewan peliharaan itu harus vaksin rabies itu ini, efek nya bisa bikin meninggal dunia. Kalau abis di gigit anjing rabies harus langsung di suntik pake vaksin anti rabies dan itu gak bisa cuman sekali",designerloyo
2023-05-11 10:44:54+00:00,1656611330026254337,"@deantibuzzer @asumsico Gak ngaruh. Kalau karna efek vaksin, itu yg mau nikah biasanya di tes HIV dulu dan banyak yg negatif.

Baca-baca dulu penyebabnya dan penularannya, jangan dikit-dikit nyalahin vaksin.",heisinopal
